Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,sortIndex,Date
1130,1130,E6,E6,32 MA,6004,ANAND,SG1,0,4
1130,1130,E6,E6,32 MA,6003,ANAND,SG1,0,1
1160,1160,N2,N2,32 MA,400303,DBRC,SG2,0,6
1130,1130,S5,S5,18 FT,8261,VARUNA,SG1,0,1
1130,1130,S5,S5_2,18 FT,8106,VARUNA,SG2,0,8
1120,1120,E5,E5,32 MA,6001,DGFC,SG2,0,8
1130,1130,S5,S5_2,18 FT,8105,KTC,SG2,0,7
1130,1130,S5,S5_2,18 FT,8104,KTC,SG2,0,9
1130,1130,S5,S5_2,18 FT,8103,KTC,SG2,0,6
1120,1120,E5,E5,32 MA,400181,KAPOOR,SG2,0,6
1150,1150/1180,N4,N4,32 MA,400335,EXPRESS,SG2,0,10
1130,1130,S5,S5_2,18 FT,8102,KTC,SG1,0,4
1160,1160,W1,W1,32 MA,400191,RCI,SG1,0,4
1150,1150/1180,N4,N4,32 MA,400286,EXPRESS,SG2,0,7
1150,1150/1180,N4,N4,32 MA,400059,EXPRESS,SG2,0,9
1160,1160,W1,W1,32 SA,400034,LGB,SG1,0,2
1130,1130,S5,S5_1,18 FT,8313,MEGA,SG2,0,10
1120,1120,N7,N7,32 SA,400044,EAST INDIA,SG1,0,5
1130,1130,S5,S5_1,18 FT,8312,MEGA,SG2,0,7
1160,1160,W1,W1,32 SA,400182,LGB,SG1,0,4
1120,1120,N7,N7,32 SA,400045,EAST INDIA,SG2,0,10
1130,1130,S5,S5_1,18 FT,8002,KTC,SG1,0,1
1130,1130,S5,S5_1,32 MA,400313,RCI,SG2,0,6
1120,1120,N7,N7,32 SA,400051,EAST INDIA,SG2,0,7
1130,1130,S5,S5_1,32 MA,400071,EXPRESS,SG2,0,6
1160,1160,W1,W1,32 SA,400331,LGB,SG2,0,9
1150,1150/1180,N4,N4,32 MA,400056,DBRC,SG2,0,8
1130,1130,S5,S5_1,32 MA,8055,EXPRESS,SG2,0,8
1130,1130,S5,S5_1,32 MA,8005,EXPRESS,SG1,0,4
1150,1150/1180,N4,N4,32 MA,400020,COSMO,SG2,0,8
1150,1150/1180,N4,N4,32 MA,104932,COSMO,SG1,0,1
1150,1150/1180,N4,N4,32 MA,5054,COSMO,SG1,0,3
1150,1150/1180,N5,N5,32 SA,400011,LGB,SG2,0,6
1130,1130,S5,S5_1,32 MA,7104,EXPRESS,SG1,0,1
1120,1120,N7,N7,32 SA,400083,NSTCL,SG1,0,5
1120,1120,N7,N7,32 SA,400151,NSTCL,SG2,0,6
1160,1160,W2,W2,32 MA,400349,TRUE FREIGHT,SG2,0,6
1150,1150/1180,S8,S8,18 FT,8355,KTC,SG2,0,8
1120,1120,N7,N7,32 SA,400206,NSTCL,SG2,0,8
1120,1120,W5,W5,32 SA,400048,LGB,SG2,0,8
1150,1150/1180,E3,E3,32 MA,400035,DGFC,SG2,0,10
1120,1120,N7,N7,32 SA,400347,NSTCL,SG2,0,10
1120,1120,W5,W5,32 SA,400043,LGB,SG1,0,1
1120,1120,W5,W5,32 SA,400039,LGB,SG1,0,3
1120,1120,W5,W5,32 MA,7251,MEGA,SG2,0,9
1120,1120,W5,W5,32 MA,7153,EXPRESS,SG2,0,10
1120,1120,W5,W5,32 MA,7105,DGFC,SG2,0,7
1120,1120,W5,W5,32 MA,7103,DGFC,SG2,0,9
1120,1120,W5,W5,32 MA,7102,DGFC,SG1,0,1
1130,1130,N9,N9,32 MA,5102,INDOARYA,SG2,1,10
1140,1140,E1,E1,32 MA,6202,DGFC,SG2,1,6
1120,1120,W5,W5,32 MA,7000,DGFC,SG1,1,3
1140,1140,S2,S2,18 FT,8106,SWASTIK,SG1,1,5
1150,1150/1180,N5,N5,32 MA,5251,DRS,SG2,1,8
1140,1140,S2,S2,18 FT,8105,MEGA,SG2,1,6
1140,1140,S2,S2,18 FT,8104,MEGA,SG1,1,5
1190,1170/1190,S1,S1,18 FT,8355,GBL,SG2,1,9
1150,1150/1180,N5,N5,32 MA,5061,DRS,SG1,1,3
1120,1120,W5,W5,32 MA,7152,EXPRESS,SG2,1,7
1140,1140,N1,N1,32 MA,5001,APML,SG1,1,1
1150,1150/1180,N5,N5,32 MA,5055,DBRC,SG2,1,10
1140,1140,N1,N1,32 MA,400021,EAST INDIA,SG1,1,2
1120,1120,W5,W5,32 MA,7302,SWASTIK,SG1,1,2
1190,1170/1190,S1,S1_1,32 MA,400334,GBL,SG2,1,8
1140,1140,S2,S2,32 MA,400311,MEGA,SG1,1,2
1170,1170/1190,E1,E1,32 MA,6203,DGFC,SG1,1,5
1120,1120,W5,W5,32 SA,400039,NSTCL,SG1,1,2
1120,1120,N7,N7,32 SA,400347,NSTCL,SG2,1,7
1120,1120,W5,W5,32 SA,400043,NSTCL,SG1,1,4
1140,1140,S2,S2,32 MA,400299,MEGA,SG1,1,4
1110,1110,S1,S1_2,18 FT,4003,CHINNA,SG2,1,10
1140,1140,S2,S2,32 MA,8103,EXPRESS,SG2,1,9
1150,1150/1180,E3,E3,32 MA,400035,KAPOOR,SG2,1,8
1140,1140,N1,N1,32 MA,400058,EAST INDIA,SG2,1,9
1140,1140,N1,N1,32 MA,400076,MAHAVEERA,SG1,1,3
1150,1150/1180,E3,E3,32 MA,6207,DGFC,SG2,1,8
1170,1170/1190,W2,W2,32 MA,5156,DGFC,SG1,1,2
1140,1140,S1,S1,32 MA,8351,COSMO,SG1,1,5
1150,1150/1180,S7,S7,32 MA,400327,EXPRESS,SG2,1,6
1120,1120,N7,N7,32 SA,400206,NSTCL,SG2,1,9
1120,1120,W5,W5,32 SA,400048,LGB,SG2,1,10
1140,1140,S1,S1,18 FT,8313,KTC,SG2,1,7
1140,1140,N1,N1,32 MA,400304,VARUNA,SG2,1,10
1140,1140,N1,N1_1,32 MA,5151,EAST INDIA,SG2,1,8
1140,1140,S1,S1_1,18 FT,400271,ILAN,SG2,1,6
1140,1140,S1,S1_1,18 FT,8312,ILAN,SG1,1,5
1150,1150/1180,S8,S8,32 MA,400068,RCI,SG2,1,8
1120,1120,N7,N7,32 SA,400151,NSTCL,SG2,1,8
1160,1160,S3,S3,32 MA,400060,EXPRESS,SG2,1,8
