Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck
1110,1110,400045,N2,N2,,OEM,32 MA,32 MA,,,,,32 MA,1.44
1110,1110,400047,S2,S2,,OEM,18 FT,32 MA,,,,,18 FT,8.924346405228759
1110,1110,400048,W1,W1,,OEM,32 MA,32 MA,,,,,32 MA,1.2941176470588236
1110,1110,400057,N3,N3,,OEM,32 MA,32 MA,,,,,32 MA,4.4375
1110,1110,400062,E2,E2,,OEM,32 MA,32 MA,,,,,32 MA,0.2
1110,1110,400063,S1,S1_1,,OEM,18 FT,32 MA,,,,,18 FT,2.75
1110,1110,400147,S1,S1_1,,OEM,18 FT,32 MA,,,,,18 FT,0.6666666666666666
1110,1110,400241,W1,W1,,OEM,32 MA,32 MA,,,,,32 MA,0.25
1110,1110,400307,E2,E2,,OEM,32 MA,32 MA,,,,,32 MA,0.1
1110,1110,400310,S3,S3,,OEM,18 FT,32 MA,,,,,18 FT,1.05
1110,1110,400324,S1,S1_1,,OEM,18 FT,32 MA,,,,,18 FT,0.6
1110,1110,400341,W1,W1,,OEM,32 MA,32 MA,,,,,32 MA,0.25
1120,1120,4000,S4,S4_1,,EXPORT,18 FT,32 MA,,,,,18 FT,6.489776190476191
1120,1120,4001,S4,S4_1,,EXPORT,18 FT,32 MA,,,,,18 FT,16.75218253968254
1120,1120,4002,E5,E5,,EXPORT,32 MA,32 MA,,,,,32 MA,0.3871142857142858
1120,1120,4003,S4,S4_1,,EXPORT,18 FT,32 MA,,,,,18 FT,15.062044444444444
1120,1120,5001,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.007
1120,1120,5002,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.1380952380952381
1120,1120,5004,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.003
1120,1120,5006,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.002
1120,1120,5040,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.29475567760899735
1120,1120,5040,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.5970593869731802
1120,1120,5050,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,1.321441836415712
1120,1120,5050,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.2364285714285714
1120,1120,5051,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.07006428571428572
1120,1120,5052,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.14285714285714285
