pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,Code,Destination,Cluster,SubCluster,RDC,TruckType,DestCategory,PreferredTruckType
63714,,0,,,,,,,,1180,5309,BATHINDA,N5,N5,5040,32 MA,DEPOT,32 MA
63711,,0,,,,,,,,1180,5306,PATIALA,N5,N5,5040,32 MA,DEPOT,32 MA
63712,,0,,,,,,,,1180,5307,ZIRAKPUR,N5,N5,5040,32 MA,DEPOT,32 MA
63708,,0,,,,,,,,1180,5303,PARWANOO,N5,N5,5040,32 MA,DEPOT,18 FT
63709,,0,,,,,,,,1180,5304,CHANDIGARH,N5,N5,5040,32 MA,DEPOT,32 MA
63710,,0,,,,,,,,1180,5305,LUDHIANA,N5,N5,5040,32 MA,DEPOT,32 MA
63705,,0,,,,,,,,1180,5251,HALDWANI,N5,N5,5050,32 MA,DEPOT,32 MA
63706,,0,,,,,,,,1180,5301,JALANDHAR,N5,N5,5301,32 MA,DEPOT,32 MA
63707,,0,,,,,,,,1180,5302,JAMMU,N5,N5,5301,32 MA,DEPOT,32 MA
63703,,0,,,,,,,,1180,5206,MUZAFFARNAGAR,N4,N4_1,5050,32 MA,DEPOT,32 MA
63704,,0,,,,,,,,1180,5252,DEHRADUN,N5,N5,5040,32 MA,DEPOT,32 MA
63701,,0,,,,,,,,1180,5202,BAREILLEY,N4,N4_1,5050,32 MA,DEPOT,32 MA
63702,,0,,,,,,,,1180,5203,AGRA,N4,N4_1,5120,32 MA,DEPOT,32 MA
63699,,0,,,,,,,,1180,5157,ALLAHABAD,N4,N4_1,6200,32 MA,DEPOT,32 MA
63700,,0,,,,,,,,1180,5201,MEERUT,N4,N4_1,5050,32 MA,DEPOT,32 MA
63697,,0,,,,,,,,1180,5155,GORAKHPUR,N4,N4_1,6200,32 MA,DEPOT,32 MA
63698,,0,,,,,,,,1180,5156,JHANSI,W4,W4,5050,32 MA,DEPOT,32 MA
63694,,0,,,,,,,,1180,5151,KANPUR,N4,N4_1,5050,32 MA,DEPOT,32 MA
63695,,0,,,,,,,,1180,5152,LUCKNOW,N4,N4_1,5050,32 MA,DEPOT,32 MA
63696,,0,,,,,,,,1180,5153,VARANASI,N4,N4_1,6200,32 MA,DEPOT,32 MA
