Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1140,4003,50084000,400,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,9000,0.044444444444444446
1150,4003,50084000,7000,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,9000,0.7777777777777778
1120,4000,50084500,2000,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,3000,0.6666666666666666
1140,4000,50084500,3500,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,9000,0.3888888888888889
1150,4000,50084500,6600,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,9000,0.7333333333333333
1120,4000,50021400,400,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1500,0.26666666666666666
1120,4003,50021400,165,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,1500,0.11
1140,4000,50030000,140,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,5000,0.028
1150,4000,50053900,130,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,6000,0.021666666666666667
1150,4003,50053900,4895,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,6000,0.8158333333333333
1160,4003,50053900,6000,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,2000,3
1120,4003,50087000,275,18 FT,S4_2,S4,,18 FT,EXPORT,32 MA,,,,,1120,18 FT,3000,0.09166666666666666

