ClubPlant,Cluster,SubCluster,Destination,Operator,TruckType,NoofIndents
1120,W5,W5,7000,SWASTIK,32 MA,2
1120,W5,W5,7051,MEGA,32 MA,1
1120,W5,W5,7051,RCI,32 MA,1
1120,W5,W5,7102,EXPRESS,32 MA,1
1120,W5,W5,7102,MEGA,32 MA,1
1120,W5,W5,7103,EXPRESS,32 MA,1
1120,W5,W5,7105,EXPRESS,32 MA,1
1120,W5,W5,7105,LG BROTHERS,32 SA,1
1120,W5,W5,7105,MEGA,32 MA,1
1120,W5,W5,7105,NSTCL,32 SA,1
1120,W5,W5,7150,DGFC,32 MA,1
1120,W5,W5,7150,EXPRESS,32 MA,2
1120,W5,W5,7150,MEGA,32 MA,1
1120,W5,W5,7150,NSTCL,32 SA,1
1120,W5,W5,7150,SWASTIK,32 MA,2
1120,W5,W5,7151,EAST INDIA,32 MA,1
1120,W5,W5,7151,EXPRESS,32 MA,1
1120,W5,W5,7152,EXPRESS,32 MA,4
1120,W5,W5,7152,NSTCL,32 SA,1
1120,W5,W5,7152,RCI,32 MA,1
1120,W5,W5,7153,EXPRESS,32 MA,1
1120,W5,W5,7161,NSTCL,32 SA,1
1120,W5,W5,7250,DGFC,32 MA,3
1120,W5,W5,7250,EXPRESS,32 MA,3
1120,W5,W5,7250,LG BROTHERS,32 SA,3
1120,W5,W5,7250,NSTCL,32 SA,2
1120,W5,W5,7250,RCI,32 MA,2
1120,W5,W5,7251,EXPRESS,32 MA,1
1120,W5,W5,7251,LG BROTHERS,32 SA,2
1120,W5,W5,7251,NSTCL,32 SA,2
1120,W5,W5,7252,DGFC,32 MA,1
1120,W5,W5,7252,EXPRESS,32 MA,1
1120,W5,W5,7253,DGFC,32 MA,2
1120,W5,W5,7254,DGFC,32 MA,1
1120,W5,W5,7254,LG BROTHERS,32 SA,1
1120,W5,W5,7302,DGFC,32 MA,1
1120,W5,W5,7302,MEGA,32 MA,1
1120,W5,W5,7302,RCI,32 MA,1
1120,W5,W5,7302,SWASTIK,32 MA,1
1130,E6,E6,102900,ANAND,18 FT,1
1130,E6,E6,115231,ANAND,18 FT,1
1130,E6,E6,115482,KAPOOR,32 MA,1
1130,E6,E6,400035,ANAND,32 MA,2
1130,E6,E6,400035,KAPOOR,32 MA,2
1130,E6,E6,400035,NCS,32 MA,1
1130,E6,E6,400181,ANAND,32 MA,5
