Plant,SalesOffice,Material,Demand
1120,5112,64051740,149
1120,5112,64051310,162
1120,5112,64060400,195
1120,5112,65161040,210
1120,5112,64050640,256
1120,5112,61610080,312
1120,5114,72012000,1
1120,5114,72042000,4
1120,5114,33021000,5
1120,5114,34011000,23
1120,5114,64060400,28
1120,5114,33011000,29
1120,5114,64051290,34
1120,5114,64050620,36
1120,5114,64050320,37
1120,5114,64050680,37
1120,5114,64060230,38
1120,5114,64050640,57
1120,5114,64050530,75
1120,5114,74065130,79
1120,5115,42011000,5
1120,5115,42031000,5
1120,5115,31071000,5
1120,5115,33021000,5
1120,5115,33011000,10
1120,5115,42041000,26
1120,5115,13118360,28
1120,5115,42021000,43
1120,5115,34011000,93
1120,5116,31071000,5
1120,5116,31331000,5
1120,5116,33021000,24
1120,5116,33011000,59
1120,5116,34011000,223
1120,5120,13199760,1
1120,5120,14178640,20
1120,5120,14118440,44
1120,5120,13119760,56
1120,5120,14118240,58
1120,5120,14019740,64
1120,5120,13128960,70
1120,5151,72012000,2
1120,5151,31071000,5
1120,5151,33021000,5
1120,5151,71011320,5
1120,5151,71013200,5
1120,5151,31331000,10
1120,5151,33011000,14
1120,5151,64050640,28
1120,5151,64060250,29
