Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType,Month,Period,Year
1110,1110,8300,S1,S1_1,8300,DEPOT,18 FT,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,2.9872142857142863,2,0.9872142857142863,0.9872142857142863,May,01,2016
1110,1110,8301,S1,S1_1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.163192546583851,1,0.16319254658385107,0.08159627329192554,May,01,2016
1110,1110,8302,S1,S1_1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,0.4945652173913044,0,0.4945652173913044,0.2472826086956522,May,01,2016
1110,1110,8303,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,0.8521739130434782,0,0.8521739130434782,0.4260869565217391,May,01,2016
1110,1110,8303,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.061855670103092786,0,0.061855670103092786,0.061855670103092786,May,01,2016
1110,1110,8304,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,0.737801242236025,0,0.737801242236025,0.3689006211180125,May,01,2016
1110,1110,8304,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.061855670103092786,0,0.061855670103092786,0.061855670103092786,May,01,2016
1110,1110,8305,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.7243012422360249,1,0.7243012422360249,0.36215062111801244,May,01,2016
1110,1110,8306,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,0.5695652173913044,0,0.5695652173913044,0.2847826086956522,May,01,2016
1110,1110,8306,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.07571987202275152,0,0.07571987202275152,0.07571987202275152,May,01,2016
1110,1110,8311,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.8482919254658385,1,0.8482919254658385,0.42414596273291927,May,01,2016
1110,1110,8311,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.041237113402061855,0,0.041237113402061855,0.041237113402061855,May,01,2016
1110,1110,8312,S1,S1_1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.2344099378881987,1,0.23440993788819875,0.11720496894409937,May,01,2016
1110,1110,8313,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.3271242236024845,1,0.3271242236024845,0.16356211180124225,May,01,2016
1110,1110,8313,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.041237113402061855,0,0.041237113402061855,0.041237113402061855,May,01,2016
1110,1110,8315,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,0.46956521739130436,0,0.46956521739130436,0.23478260869565218,May,01,2016
1110,1110,8351,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.396086956521739,1,0.3960869565217391,0.19804347826086954,May,01,2016
1110,1110,8352,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,3.154526821005082,3,0.15452682100508186,0.07726341050254093,May,01,2016
1110,1110,8352,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.16868112335584784,0,0.16868112335584784,0.16868112335584784,May,01,2016
1110,1110,8353,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,2.8016304347826084,2,0.8016304347826084,0.4008152173913042,May,01,2016
1110,1110,8353,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.2065410593672236,0,0.2065410593672236,0.2065410593672236,May,01,2016
1110,1110,8354,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.4571304347826088,1,0.45713043478260884,0.22856521739130442,May,01,2016
1110,1110,8354,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.041237113402061855,0,0.041237113402061855,0.041237113402061855,May,01,2016
1110,1110,8355,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,1.4616832298136646,1,0.4616832298136646,0.2308416149068323,May,01,2016
1110,1110,8355,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.11357980803412726,0,0.11357980803412726,0.11357980803412726,May,01,2016
1110,1110,8356,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,18 FT,0.32571428571428573,0,0.32571428571428573,0.16285714285714287,May,01,2016
1110,1110,8356,S1,S1,8300,DEPOT,32 MA,18 FT,S1,S1_1,DEPOT,18 FT,32 SA,0.061855670103092786,0,0.061855670103092786,0.061855670103092786,May,01,2016
