pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
725,,725,{},1452163448,1452163448,19,19,,,1150,8313,21151320,01To10,6,32 MA,S,S,8300,32 MA,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,5000,0.0012
726,,726,{},1452163448,1452163448,19,19,,,1150,8351,21151320,01To10,20,32 MA,S,S,8300,32 MA,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,5000,0.004
727,,727,{},1452163448,1452163448,19,19,,,1150,8352,21151320,01To10,18,32 MA,S,S,8300,32 MA,DEPOT,32 MA,S,S,32 MA,DEPOT,1150/1180,5000,0.0036
728,,728,{},1452163448,1452163448,19,19,,,1150,8353,21151320,01To10,15,32 MA,S,S,8300,32 MA,DEPOT,32 MA,S,S,32 MA,DEPOT,1150/1180,5000,0.003
729,,729,{},1452163448,1452163448,19,19,,,1150,8354,21151320,01To10,12,18 FT,S,S,8300,18 FT,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,2000,0.006
730,,730,{},1452163448,1452163448,19,19,,,1150,8356,21151320,01To10,6,32 MA,S,S,8300,32 MA,DEPOT,18 FT,S,S,32 MA,DEPOT,1150/1180,5000,0.0012
839,,839,{},1452163448,1452163448,19,19,,,1150,4002,21173600,01To10,390,32 MA,E3,E3,,32 MA,EXPORT,32 MA,,,,,1150/1180,4685,0.0832443970117396
840,,840,{},1452163448,1452163448,19,19,,,1150,5054,21173600,01To10,74,32 MA,N4,N4,5050,32 MA,DEPOT,32 MA,N5,N5,32 MA,DEPOT,1150/1180,4685,0.015795090715048025
841,,841,{},1452163448,1452163448,19,19,,,1150,5061,21173600,01To10,24,32 MA,N5,N5,5040,32 MA,DEPOT,32 MA,N6,N6,32 MA,DEPOT,1150/1180,4685,0.005122732123799359
842,,842,{},1452163448,1452163448,19,19,,,1150,5106,21173600,01To10,24,32 MA,N6,N6,5120,32 MA,DEPOT,32 MA,N6,N6,32 MA,DEPOT,1150/1180,4685,0.005122732123799359
843,,843,{},1452163448,1452163448,19,19,,,1150,5202,21173600,01To10,41,32 MA,N4,N4,5050,32 MA,DEPOT,32 MA,N5,N5,32 MA,DEPOT,1150/1180,4685,0.008751334044823906
