Plant,Destination,Cluster,SubCluster,RDC,DestCategory,TruckType,DemandTruck,DemandTruckFinal
1180,7150,W3,W3,7150,DEPOT,32 MA,0.27994644824962683,0.27994644824962683
1180,7150,W3,W3,7150,DEPOT,32 MA,0.5171865455583118,0.5171865455583118
1180,NAGPUR MOGO,W3,W3,NAGPUR MOGO,DEPOT,32 MA,0.008802816901408451,0.008802816901408451
1180,7250,W3,W3,7250,DEPOT,32 MA,0.2726847387136121,0.2726847387136121
1180,7250,W4,W4,7250,DEPOT,32 MA,0.5380874607956213,0.5380874607956213
1180,7250,W4,W4,7250,DEPOT,32 MA,0.5217504231457992,0.5217504231457992
1180,5050,W4,W4,5050,DEPOT,32 MA,0.2529593907648219,0.2529593907648219
1180,7250,W4,W4,7250,DEPOT,32 MA,0.19174370977960878,0.19174370977960878
1180,7250,W4,W4,7250,DEPOT,32 MA,0.255175949150644,0.255175949150644
1180,7250,W4,W4,7250,DEPOT,32 MA,0.1924173198419495,0.1924173198419495
1180,8300,S,S,8300,DEPOT,32 MA,0.2966498926070938,0.2966498926070938
1180,8300,S,S,8300,DEPOT,32 MA,0.19810370158409346,0.19810370158409346
1180,8300,S,S,8300,DEPOT,32 MA,0.35309502987899427,0.35309502987899427
1180,8300,S,S,8300,DEPOT,32 MA,0.19077451103204607,0.19077451103204607
1180,8300,S,S,8300,DEPOT,32 MA,0.25928681387045305,0.25928681387045305
1180,8300,S,S,8300,DEPOT,32 MA,0.25184928474911067,0.25184928474911067
1180,7150,S,S,7150,DEPOT,32 MA,0.16147738464339353,0.16147738464339353
1180,8150,S,S,8150,DEPOT,32 MA,0.22114104832265252,0.22114104832265252
1180,8150,S,S,8150,DEPOT,32 MA,0.16044566470646554,0.16044566470646554
1180,8150,S,S,8150,DEPOT,32 MA,0.21998533761303665,0.21998533761303665
1180,8300,S,S,8300,DEPOT,18 FT,1.3293515262515263,0.3293515262515263
1180,8300,S,S,8300,DEPOT,18 FT,1.617169230769231,0.6171692307692309
1180,8300,S,S,8300,DEPOT,32 MA,0.36061662338829703,0.36061662338829703
1180,8300,S,S,8300,DEPOT,32 MA,0.4391739236069574,0.4391739236069574
1180,8300,S,S,8300,DEPOT,32 MA,0.13307858702267647,0.13307858702267647
1180,8150,S,S,8150,DEPOT,32 MA,0.6374501941837122,0.6374501941837122
1180,8150,S,S,8150,DEPOT,32 MA,0.5641357010830591,0.5641357010830591
1180,8150,S,S,8150,DEPOT,32 MA,0.486628984804734,0.486628984804734
1180,8150,S,S,8150,DEPOT,32 MA,0.47759048601724935,0.47759048601724935
1180,8150,S,S,8150,DEPOT,32 MA,0.7161642323933745,0.7161642323933745
1180,8150,S,S,8150,DEPOT,32 MA,0.7431087182981863,0.7431087182981863
1180,8150,S,S,8150,DEPOT,18 FT,0.5624296703296703,0.5624296703296703
1180,8300,S,S,8300,DEPOT,32 MA,0.14841192520020458,0.14841192520020458
1180,8150,S,S,8150,DEPOT,32 MA,0.1932014686979699,0.1932014686979699
1180,8150,S,S,8150,DEPOT,32 MA,0.623797955875022,0.623797955875022
1180,8300,S,S,8300,DEPOT,32 MA,0.3987059038157279,0.3987059038157279
1180,8150,S,S,8150,DEPOT,32 MA,0.2967563546040988,0.2967563546040988
1180,8300,S,S,8300,DEPOT,32 MA,0.17869096813975965,0.17869096813975965
1180,8150,S,S,8150,DEPOT,32 MA,0.24628107976741298,0.24628107976741298
1180,8300,S,S,8300,DEPOT,32 MA,0.5915972087168809,0.5915972087168809
1180,8300,S,S,8300,DEPOT,18 FT,0.2132051282051282,0.2132051282051282
1180,8300,S,S,8300,DEPOT,18 FT,0.6926457875457874,0.6926457875457874
1180,8300,S,S,8300,DEPOT,32 MA,0.10270458885453936,0.10270458885453936
