pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,SubCluster,Cluster,RDC,TruckType,DestCategory,Tyres,DemandTruck
296,,296,{},1450709139,1450709139,19,19,,,1150,7301,21113920,01To10,12,W4,W4,7250,32 MA,DEPOT,4375,0.002742857142857143
297,,297,{},1450709139,1450709139,19,19,,,1150,8001,21113920,01To10,57,S,S,8300,32 MA,DEPOT,4375,0.01302857142857143
298,,298,{},1450709139,1450709139,19,19,,,1150,8002,21113920,01To10,5,S,S,8300,32 MA,DEPOT,4375,0.001142857142857143
299,,299,{},1450709139,1450709139,19,19,,,1150,8003,21113920,01To10,14,S,S,8300,32 MA,DEPOT,4375,0.0032
300,,300,{},1450709139,1450709139,19,19,,,1150,8004,21113920,01To10,15,S,S,8300,32 MA,DEPOT,4375,0.0034285714285714284
301,,301,{},1450709139,1450709139,19,19,,,1150,8005,21113920,01To10,65,S,S,8300,32 MA,DEPOT,4375,0.014857142857142857
302,,302,{},1450709139,1450709139,19,19,,,1150,8006,21113920,01To10,7,S,S,8300,32 MA,DEPOT,4375,0.0016
303,,303,{},1450709139,1450709139,19,19,,,1150,8051,21113920,01To10,17,S,S,7150,32 MA,DEPOT,4375,0.0038857142857142857
304,,304,{},1450709139,1450709139,19,19,,,1150,8052,21113920,01To10,21,S,S,7150,18 FT,DEPOT,1750,0.012
305,,305,{},1450709139,1450709139,19,19,,,1150,8054,21113920,01To10,7,S,S,8150,32 MA,DEPOT,4375,0.0016
306,,306,{},1450709139,1450709139,19,19,,,1150,8102,21113920,01To10,6,S,S,8300,18 FT,DEPOT,1750,0.0034285714285714284
307,,307,{},1450709139,1450709139,19,19,,,1150,8103,21113920,01To10,65,S,S,8300,18 FT,DEPOT,1750,0.037142857142857144
308,,308,{},1450709139,1450709139,19,19,,,1150,8104,21113920,01To10,10,S,S,8300,32 MA,DEPOT,4375,0.002285714285714286
309,,309,{},1450709139,1450709139,19,19,,,1150,8105,21113920,01To10,30,S,S,8300,32 MA,DEPOT,4375,0.006857142857142857
310,,310,{},1450709139,1450709139,19,19,,,1150,8106,21113920,01To10,13,S,S,8300,18 FT,DEPOT,1750,0.0074285714285714285
311,,311,{},1450709139,1450709139,19,19,,,1150,8151,21113920,01To10,13,S,S,8150,32 MA,DEPOT,4375,0.0029714285714285715
312,,312,{},1450709139,1450709139,19,19,,,1150,8153,21113920,01To10,39,S,S,8150,32 MA,DEPOT,4375,0.008914285714285715
313,,313,{},1450709139,1450709139,19,19,,,1150,8155,21113920,01To10,17,S,S,8150,32 MA,DEPOT,4375,0.0038857142857142857
314,,314,{},1450709139,1450709139,19,19,,,1150,8156,21113920,01To10,33,S,S,8150,32 MA,DEPOT,4375,0.007542857142857143
315,,315,{},1450709139,1450709139,19,19,,,1150,8251,21113920,01To10,9,S,S,8150,32 MA,DEPOT,4375,0.002057142857142857
316,,316,{},1450709139,1450709139,19,19,,,1150,8252,21113920,01To10,12,S,S,8150,18 FT,DEPOT,1750,0.006857142857142857
317,,317,{},1450709139,1450709139,19,19,,,1150,8255,21113920,01To10,30,S,S,8150,32 MA,DEPOT,4375,0.006857142857142857
318,,318,{},1450709139,1450709139,19,19,,,1150,8256,21113920,01To10,7,S,S,8300,32 MA,DEPOT,4375,0.0016
319,,319,{},1450709139,1450709139,19,19,,,1150,8257,21113920,01To10,15,S,S,8150,32 MA,DEPOT,4375,0.0034285714285714284
320,,320,{},1450709139,1450709139,19,19,,,1150,8302,21113920,01To10,20,S,S,8300,18 FT,DEPOT,1750,0.011428571428571429
321,,321,{},1450709139,1450709139,19,19,,,1150,8351,21113920,01To10,9,S,S,8300,32 MA,DEPOT,4375,0.002057142857142857
322,,322,{},1450709139,1450709139,19,19,,,1150,8352,21113920,01To10,14,S,S,8300,32 MA,DEPOT,4375,0.0032
323,,323,{},1450709139,1450709139,19,19,,,1150,8354,21113920,01To10,7,S,S,8300,18 FT,DEPOT,1750,0.004
