ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1160,1160,S,S,18 FT,7104,1
1160,1160,S,S,18 FT,8001,2
1160,1160,S,S,18 FT,8002,1
1160,1160,S,S,18 FT,8003,3
1160,1160,S,S,18 FT,8004,1
1160,1160,S,S,18 FT,8005,2
1160,1160,S,S,18 FT,8006,3
1160,1160,S,S,18 FT,8051,1
1160,1160,S,S,18 FT,8052,2
1160,1160,S,S,18 FT,8053,1
1160,1160,S,S,18 FT,8054,1
1160,1160,S,S,18 FT,8055,1
1160,1160,S,S,18 FT,8102,1
1160,1160,S,S,18 FT,8103,3
1160,1160,S,S,18 FT,8104,2
1160,1160,S,S,18 FT,8105,1
1160,1160,S,S,18 FT,8106,1
1160,1160,S,S,18 FT,8107,1
1160,1160,S,S,18 FT,8151,1
1160,1160,S,S,18 FT,8153,2
1160,1160,S,S,18 FT,8155,1
1160,1160,S,S,18 FT,8156,2
1160,1160,S,S,18 FT,8251,2
1160,1160,S,S,18 FT,8252,2
1160,1160,S,S,18 FT,8253,1
1160,1160,S,S,18 FT,8255,2
1160,1160,S,S,18 FT,8256,2
1160,1160,S,S,18 FT,8261,1
1160,1160,S,S,18 FT,8300,1
1160,1160,S,S,18 FT,8301,1
1160,1160,S,S,18 FT,8302,1
1160,1160,S,S,18 FT,8304,1
1160,1160,S,S,18 FT,8305,1
1160,1160,S,S,18 FT,8311,1
1160,1160,S,S,18 FT,8312,2
1160,1160,S,S,18 FT,8313,1
1160,1160,S,S,18 FT,8351,1
1160,1160,S,S,18 FT,8352,1
1160,1160,S,S,18 FT,8353,1
1160,1160,S,S,18 FT,8356,1
1160,1160,S,S,18 FT,400031,16
1160,1160,S,S,18 FT,400060,3
1160,1160,S,S,18 FT,400073,3
1160,1160,S,S,18 FT,400074,8
1160,1160,S,S,18 FT,400078,15
1160,1160,S,S,18 FT,400171,4
1160,1160,S,S,18 FT,400186,11
1160,1160,S,S,32 MA,8150,3
1160,1160,S,S,32 MA,8300,5
1160,1160,E1,E1,18 FT,4002,1
1160,1160,E1,E1,18 FT,6201,1
1160,1160,E1,E1,18 FT,6202,1
1160,1160,E1,E1,18 FT,6203,1
1160,1160,E1,E1,18 FT,6204,1
1160,1160,E1,E1,32 MA,6200,2
1160,1160,N1,N1,18 FT,5001,2
1160,1160,N1,N1,18 FT,5002,1
1160,1160,N1,N1,18 FT,5004,1
1160,1160,N1,N1,18 FT,5006,2
1160,1160,N1,N1,18 FT,400077,12
1160,1160,N1,N1,18 FT,400211,21
1160,1160,N1,N1,18 FT,400323,6
1160,1160,N1,N1_1,18 FT,5151,1
1160,1160,N1,N1_1,18 FT,5152,1
1160,1160,N1,N1_1,18 FT,5153,2
1160,1160,N1,N1_1,18 FT,5155,2
1160,1160,N1,N1_1,18 FT,5157,1
1160,1160,N1,N1_1,18 FT,5201,1
1160,1160,N1,N1_1,18 FT,5203,2
1160,1160,N3,N3,18 FT,5040,1
1160,1160,N3,N3,18 FT,5051,1
1160,1160,N3,N3,18 FT,5104,3
1160,1160,N3,N3,18 FT,5106,1
1160,1160,N3,N3,18 FT,5120,1
1160,1160,N3,N3,32 MA,5040,3
1160,1160,N3,N3,32 MA,5120,4
1160,1160,N2,N2,18 FT,5050,2
1160,1160,N2,N2,18 FT,5053,1
1160,1160,N2,N2,18 FT,5055,1
1160,1160,N2,N2,18 FT,5251,1
1160,1160,N2,N2,18 FT,5301,2
1160,1160,N2,N2,18 FT,5303,1
1160,1160,N2,N2,18 FT,5305,1
1160,1160,N2,N2,18 FT,5306,1
1160,1160,N2,N2,18 FT,400121,2
1160,1160,N2,N2,18 FT,400303,41
1160,1160,N2,N2,32 MA,5050,5
1160,1160,W2,W2,18 FT,5156,1
